,Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
17,R1,Alto-forno,Gas natural,0.15476629466507402,0.14905901531030005,0.15031725217360273,0.1437062047643681,0.11872379957618859,0.11345109058477354,0.13417814278937584,0.146948061463224,0.15375577447323469,0.12766520290223624,0.15994448417847482,0.13663973369389054,0.14197470975618645,0.13990787503549215,0.15565817405798657,0.15565817405798657,0.15528743808296924,0.1549167018527542,0.15454596511059632,0.15417522759804997,0.15380448905495434,0.15343374921941932,0.15306300782781082,0.15269226461473595,0.15232151931302845,0.1519507716537335,0.15158002136609244,0.15120926817752764,0.1508385118136271,0.15046775199812842,0.15009698845290345,0.149726220897942,0.14935544905133596,0.14898467262926268,0.14861389134596886,0.1482431049137536,0.14787231304295181,0.1475015154419171,0.14713071181700454,0.14675990187255356,0.14638908531087005,0.14601826183220895,0.14564743113475614,0.14527659291461045,0.14490574686576535,0.14453489268009034
18,R1,Alto-forno,Carvao metalurgico,2.749265874732366,3.069749669497793,2.988029214687416,3.1656062457773926,3.7182158604806346,2.8056780068966116,2.8342128884204567,2.795481960512456,2.8269179756142053,3.15005626838757,3.17461811203747,3.1027944654410526,3.3449708275219217,3.4974087050042937,3.492789459084182,3.492789459084182,3.4844705172816024,3.4761514594042673,3.4678322796351697,3.4595129721184374,3.451193530959005,3.4428739502222814,3.4345542239338154,3.4262343460789544,3.417914310602507,3.4095941114083916,3.401273742359292,3.3929531972763014,3.3846324699385644,3.3763115540829207,3.3679904434035386,3.359669131551547,3.351347612134662,3.343025878716815,3.3347039248177692,3.3263817439127377,3.3180593294319953,3.3097366747604853,3.3014137732374262,3.29309061815591,3.2847672027624935,3.276443520256797,3.2681195637910854,3.2597953264698534,3.251470801349399,3.2431459814374026
21,R1,Alto-forno,Outras fontes secundarias,0.4264091833921852,0.4778614956909184,0.5146457446478008,0.489674054085949,0.7415242688944269,0.12718092283099192,0.1282240019315942,0.12484927964832807,0.1199852990557469,0.12160961183778755,0.12154707898405184,0.11431238737002145,0.11400976539913675,0.11372672633894598,0.11280678957713718,0.11280678957713718,0.1125380723337918,0.11226927132912849,0.11200038629260313,0.11173141695179119,0.11146236303236964,0.11119322425809888,0.11092400035080403,0.11065469103035647,0.11038529601465488,0.11011581501960606,0.10984624775910551,0.10957659394501804,0.1093068532871577,0.10903702549326788,0.10876711026900085,0.10849710731789733,0.10822701634136542,0.10795683703865984,0.10768656910686032,0.10741621224085014,0.10714576613329423,0.10687523047461692,0.1066046049529797,0.10633388925425835,0.10606308306202004,0.10579218605750007,0.10552119791957833,0.10525011832475518,0.10497894694712773,0.104707683458365
22,R1,Alto-forno,Oleo diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,R1,Alto-forno,Oleo combustivel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,R1,Alto-forno,GLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,R1,Alto-forno,Gas cidade,0.6170215810025601,0.6710384950222209,0.6474458268664434,0.6643331705944742,0.963919252215125,0.8003050915119674,0.7671625037856036,0.7541706909387368,0.7588972776738919,0.7444754335414112,0.6934096088931003,0.7220484287975367,0.7100088653933295,0.7244435581739698,0.7249330616042509,0.7249330616042509,0.7232061890375174,0.721478761570381,0.7197507774307366,0.7180222348342017,0.7162931319839988,0.7145634670708361,0.712833238272786,0.7111024437551642,0.7093710816704041,0.7076391501579326,0.7059066473440432,0.7041735713417674,0.7024399202507446,0.7007056921570911,0.6989708851332667,0.6972354972379393,0.6954995265158492,0.693762970997671,0.6920258286998734,0.6902880976245771,0.688549775759413,0.6868108610773752,0.6850713515366752,0.6833312450805931,0.6815905396373261,0.6798492331198368,0.678107323425698,0.6763648084369374,0.6746216860198772,0.6728779540249756
28,R1,Alto-forno,Coque de carvao mineral,9.179884761979338,9.816103824515253,9.797899962053338,9.760814193423933,11.773850268544873,11.394033346550833,11.485832110171977,11.369622574361818,11.495053991694796,11.17182657077959,11.193268238571804,10.856286305549965,10.79352812587128,10.841102737366755,10.862230789282195,10.862230789282195,10.836354927381112,10.81046915013367,10.784573427549908,10.758667729436125,10.732752025392887,10.706826284813044,10.680890476879645,10.654944570563911,10.628988534623122,10.603022337598514,10.577045947813119,10.551059333369613,10.525062462148105,10.499055301803923,10.473037819765345,10.447009983231332,10.42097175916921,10.394923114312327,10.368864015157687,10.342794427963547,10.316714318746993,10.290623653281454,10.26452239709423,10.238410515463968,10.212287973418082,10.186154735730168,10.160010766917383,10.13385603123778,10.107690492687608,10.08151411499859
29,R1,Alto-forno,Eletricidade,0.1820018330410382,0.180297643536744,0.18073795899700876,0.18483253636893,0.20258336629914905,0.19166781773603936,0.19130998314347525,0.1922539985790376,0.18946164298406476,0.19401020430138424,0.20057196196043825,0.19054887254420458,0.18953377170443153,0.18749570373643354,0.18650007137553737,0.18650007137553737,0.18605558763871802,0.18561052111597046,0.18516486970141197,0.18471863127480595,0.18427180370140617,0.18382438483179833,0.18337637250173935,0.1829277645319946,0.18247855872817167,0.1820287528805528,0.18157834476392387,0.18112733213740095,0.18067571274425434,0.1802234843117299,0.179770644550867,0.17931719115631453,0.17886312180614328,0.1784084341616557,0.17795312586719242,0.17749719454993615,0.17704063781971166,0.1765834532687833,0.17612563847164903,0.1756671909848307,0.17520810834666162,0.17474838807707005,0.17428802767735965,0.1738270246299859,0.17336537639832905,0.1729030804264634
30,R1,Alto-forno,Carvao vegetal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
