Year,BOF,EAF,EOF,Total,BOF MC,BOF CC,Total+EOF,Share BOF,Share BOF CC,Share BOF MC,Share EAF
2028,38011.27404958678,12372.616859504133,,50383.89090909091,34272.47886430934,3738.7951852774313,,0.7544330809657317,0.07420616228356493,0.6802269186821668,0.24556691903426828
2029,39441.12396694215,12981.421487603307,,52422.545454545456,35518.35833805049,3922.765628891656,,0.7523694934108219,0.07482974347922514,0.6775397499315968,0.2476305065891781
2030,40862.56,13598.64,,54461.2,36753.28139421613,4109.278605783866,,0.7503059058559121,0.07545332467488534,0.6748525811810268,0.2496940941440879
2031,41098.39719999999,13843.3428,,54941.74,36915.17355406392,4183.223645936073,,0.7480359595455113,0.07613926399011157,0.6718966955553997,0.2519640404544887
2032,41332.0528,14090.2272,,55422.28,37074.22487135464,4257.827928645357,,0.7457660132351105,0.0768252033053378,0.6689408099297727,0.2542339867648895
2033,41563.52680000001,14339.2932,,55902.82,37230.435346088285,4333.091453911719,,0.7434960669247097,0.07751114262056404,0.6659849243041457,0.2565039330752903
2034,41792.819200000005,14590.540799999999,,56383.36,37383.804978264845,4409.0142217351595,,0.7412261206143089,0.07819708193579027,0.6630290386785187,0.2587738793856911
2035,42019.92999999999,14843.97,,56863.899999999994,37534.333767884316,4485.596232115677,,0.7389561743039081,0.0788830212510165,0.6600731530528916,0.2610438256960919
2036,42244.8592,15099.580799999998,,57344.439999999995,37682.02171494673,4562.837485053272,,0.7366862279935074,0.07956896056624273,0.6571172674272646,0.2633137720064927
2037,42467.6068,15357.373199999998,,57824.979999999996,37826.86881945206,4640.737980547945,,0.7344162816831066,0.08025489988146896,0.6541613818016376,0.2655837183168935
2038,42688.1728,15617.3472,,58305.52,37968.87508140031,4719.297718599695,,0.7321463353727057,0.08094083919669519,0.6512054961760105,0.2678536646272943
2039,42906.557199999996,15879.5028,,58786.06,38108.040500791474,4798.516699208523,,0.7298763890623049,0.08162677851192142,0.6482496105503834,0.2701236109376951
2040,43122.759999999995,16143.839999999998,,59266.6,38244.36507762557,4878.3949223744285,,0.7276064427519041,0.08231271782714765,0.6452937249247565,0.2723935572480959
2041,43336.7812,16410.358799999998,,59747.14,38377.848811902586,4958.9323880974125,,0.7253364964415033,0.08299865714237388,0.6423378392991295,0.27466350355849667
2042,43548.6208,16679.0592,,60227.68,38508.49170362252,5040.129096377473,,0.7230665501311024,0.08368459645760011,0.6393819536735024,0.2769334498688975
2043,43758.2788,16949.9412,,60708.22,38636.29375278539,5121.985047214612,,0.7207966038207017,0.08437053577282634,0.6364260680478753,0.2792033961792983
2044,43965.7552,17223.0048,,61188.76,38761.25495939117,5204.500240608828,,0.7185266575103009,0.08505647508805257,0.6334701824222483,0.2814733424896991
2045,44171.05,17498.250000000004,,61669.3,38883.37532343988,5287.674676560122,,0.7162567111999001,0.0857424144032788,0.6305142967966213,0.2837432888000999
2046,44374.1632,17775.6768,,62149.84,39002.65484493151,5371.508355068492,,0.7139867648894993,0.08642835371850503,0.6275584111709943,0.2860132351105007
2047,44575.09479999999,18055.2852,,62630.38,39119.09352386605,5456.001276133941,,0.7117168185790985,0.08711429303373126,0.6246025255453672,0.2882831814209015
2048,44773.8448,18337.0752,,63110.92,39232.69136024353,5541.153439756468,,0.7094468722686977,0.0878002323489575,0.6216466399197402,0.29055312773130226
2049,44970.413199999995,18621.0468,,63591.46,39343.44835406393,5626.964845936072,,0.707176925958297,0.08848617166418372,0.6186907542941132,0.2928230740417031
2050,45164.8,18907.2,,64072.0,39451.36450532725,5713.435494672754,,0.7049069796478962,0.08917211097940995,0.6157348686684863,0.2950930203521039
